"word","cdv.txt","cdv.txt.zip","groen.txt","groen.txt.zip","nva.txt","nva.txt.zip","openvld.txt","openvld.txt.zip","pvda.txt","pvda.txt.zip","spa.txt","spa.txt.zip","vlaamsbelang.txt","vlaamsbelang.txt.zip"
"voorkomen",4,0,61,0,9,0,0,0,5,0,21,0,0,0
"participatie",5,0,54,0,10,0,6,0,4,0,37,0,0,0
"opnieuw",5,0,48,0,22,0,9,0,27,0,40,0,17,0
"nationale",3,0,54,0,12,0,0,0,24,0,31,0,1,0
"welke",6,0,56,0,21,0,7,0,10,0,31,0,1,0
"leiden",15,0,50,0,13,0,2,0,15,0,42,0,6,0
"wereld",13,0,44,0,13,0,11,0,19,0,49,0,9,0
"ondernemingen",22,0,31,0,37,0,7,0,24,0,44,0,1,0
"bevorderen",5,0,61,0,5,0,4,0,5,0,15,0,0,0
"media",1,0,42,0,11,0,2,0,5,0,49,0,8,0
"duidelijke",5,0,56,0,17,0,6,0,2,0,30,0,4,0
"creëren",10,0,49,0,23,0,16,0,14,0,39,0,0,0
"vraag",11,0,57,0,9,0,7,0,26,0,20,0,0,0
"grotere",12,0,56,0,9,0,3,0,10,0,31,0,2,0
"procedure",0,0,60,0,1,0,2,0,6,0,15,0,2,0
"maximaal",4,0,51,0,22,0,12,0,7,0,36,0,2,0
"sterke",11,0,48,0,18,0,12,0,3,0,42,0,6,0
"crisis",13,0,25,0,10,0,2,0,45,0,42,0,3,0
"lokaal",8,0,54,0,6,0,5,0,2,0,33,0,2,0
"ontwikkelingssamenwerking",0,0,58,0,16,0,6,0,0,0,16,0,0,0
"structurele",4,0,57,0,10,0,2,0,10,0,25,0,1,0
"infrastructuur",13,0,54,0,8,0,3,0,9,0,32,0,2,0
"nodige",1,0,52,0,13,0,6,0,3,0,34,0,5,0
"patiënt",8,0,53,0,9,0,6,0,14,0,33,0,2,0
"opvang",5,0,54,0,3,0,3,0,12,0,30,0,3,0
"politieke",4,0,50,0,27,0,4,0,26,0,24,0,7,0
"gezin",16,0,42,0,16,0,8,0,13,0,45,0,2,0
"leren",16,0,49,0,10,0,12,0,7,0,37,0,1,0
"buurt",4,0,55,0,2,0,0,0,3,0,24,0,1,0
"regionale",7,0,58,0,6,0,7,0,5,0,15,0,0,0
"buiten",9,0,51,0,5,0,2,0,7,0,33,0,0,0
"volledig",2,0,54,0,15,0,2,0,16,0,24,0,3,0
"hiervoor",7,0,54,0,14,0,11,0,2,0,26,0,1,0
"druk",2,0,52,0,17,0,3,0,21,0,26,0,8,0
"gezonde",1,0,56,0,11,0,0,0,8,0,19,0,5,0
"bijdragen",12,0,40,0,23,0,2,0,23,0,40,0,1,0
"zie",2,0,57,0,10,0,1,0,4,0,3,0,0,0
"mogelijkheden",10,0,51,0,8,0,13,0,3,0,32,0,3,0
"vele",3,0,53,0,7,0,3,0,3,0,28,0,6,0
"neemt",7,0,51,0,16,0,2,0,18,0,29,0,4,0
"verbeteren",8,0,49,0,10,0,2,0,12,0,35,0,3,0
"zeer",16,0,45,0,5,0,1,0,14,0,38,0,4,0
"mensenrechten",0,0,53,0,2,0,9,0,7,0,24,0,0,0
"verkiezingen",0,0,11,0,6,0,56,0,12,0,6,0,2,0
"mei",1,0,3,0,3,0,56,0,10,0,0,0,2,0
"loon",3,0,24,0,10,0,4,0,43,0,37,0,1,0
"leggen",11,0,50,0,26,0,9,0,17,0,25,0,5,0
"commissie",7,0,53,0,11,0,1,0,21,0,17,0,0,0
"houdt",6,0,54,0,9,0,4,0,11,0,22,0,3,0
"justitie",7,0,41,0,13,0,3,0,43,0,12,0,9,0
"geld",4,0,32,0,8,0,2,0,49,0,15,0,10,0
"voorwaarden",2,0,54,0,13,0,7,0,8,0,19,0,2,0
"zet",0,0,39,0,8,0,4,0,10,0,43,0,0,0
"welzijn",21,0,49,0,10,0,6,0,5,0,29,0,4,0
"mogelijkheid",6,0,49,0,14,0,9,0,6,0,32,0,4,0
"momenteel",4,0,54,0,2,0,4,0,3,0,18,0,2,0
"lange",8,0,48,0,7,0,0,0,13,0,32,0,3,0
"prijs",3,0,50,0,7,0,1,0,19,0,25,0,2,0
"instellingen",0,0,47,0,19,0,6,0,11,0,31,0,3,0
"bevolking",8,0,26,0,12,0,3,0,46,0,29,0,3,0
"integratie",5,0,52,0,20,0,4,0,4,0,18,0,2,0
"grond",1,0,54,0,0,0,0,0,3,0,11,0,1,0
"decreet",5,0,54,0,1,0,3,0,2,0,13,0,0,0
"stap",13,0,51,0,8,0,6,0,10,0,26,0,2,0
