"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"solidariteit",19,17,18,3,24,25,5
"wettelijk",13,42,4,15,22,15,0
"bevorderen",20,61,5,4,5,15,0
"organiseren",14,24,12,8,12,39,1
"uitbreiding",16,47,8,6,9,19,5
"betaalbare",23,33,8,4,10,27,4
"buitenland",32,31,16,10,4,16,0
"functie",30,31,8,5,7,27,1
"hulp",14,38,8,6,22,20,1
"ontwikkelingssamenwerking",13,58,16,6,0,16,0
"voorkomen",13,61,9,0,5,21,0
"wetgeving",13,47,12,7,7,23,0
"zet",5,39,8,4,10,43,0
"ecologische",8,84,2,0,5,9,0
"competenties",22,31,10,4,0,40,0
"gebeurt",20,46,4,7,7,22,1
"loopbaan",13,39,15,1,16,23,0
"omgeving",23,37,9,7,1,30,0
"preventie",22,41,9,2,6,25,2
"streven",27,33,11,2,4,30,0
"essentieel",23,34,10,3,5,29,2
"laat",17,37,3,4,18,22,5
"oplossing",7,44,11,0,15,25,4
"activiteiten",19,40,9,5,3,29,0
"laatste",16,45,5,2,14,20,3
"lang",8,52,12,7,12,11,3
"maatschappij",6,35,6,1,17,39,1
"medische",20,34,9,8,15,17,2
"wettelijke",7,35,5,7,32,17,2
"bestaat",11,51,8,1,6,25,2
"fraude",19,31,16,1,8,28,1
"helpen",14,29,10,6,8,32,5
"instrument",23,35,3,3,7,31,2
"kwetsbare",24,42,8,0,6,24,0
"liggen",10,34,5,3,21,22,9
"lonen",5,14,4,2,64,15,0
"normen",2,72,6,0,9,14,1
"prioriteit",20,33,4,5,14,27,1
"vijf",8,30,13,4,38,10,1
"vrije",15,22,6,12,23,25,1
"bestuur",16,38,15,2,11,20,1
"evaluatie",20,50,5,5,4,19,0
"keuzes",20,32,14,7,8,22,0
"middenveld",20,43,3,1,14,21,1
"uitbouw",22,44,9,6,5,13,4
"belastingen",14,18,16,6,30,11,7
"concurrentie",11,19,9,2,29,31,1
"ingezet",9,53,9,7,3,19,2
"invoering",14,45,12,4,11,13,3
"maatschappelijk",15,48,6,0,6,27,0
"model",18,42,6,2,12,15,7
"politie",19,29,17,1,4,20,12
"uitvoering",38,32,6,3,2,21,0
"veilige",21,47,11,4,2,17,0
"aangepaste",25,44,8,1,1,22,0
"fiscaliteit",35,25,4,4,8,25,0
"onvoldoende",11,37,16,1,8,26,2
"pakken",11,28,23,4,7,27,1
"resultaten",27,31,12,8,6,17,0
"verdienen",12,39,6,6,13,24,1
"doet",19,32,11,1,7,28,2
"echt",7,40,8,3,12,26,4
"effectief",11,37,14,3,2,31,2
"federaal",21,37,15,7,6,14,0
"hand",25,23,10,5,14,17,6
"inzet",18,29,24,2,8,19,0
"plaatsen",5,48,5,5,8,25,4
"principe",10,41,10,6,6,24,3
"terwijl",6,34,8,1,23,26,2
"tewerkstelling",24,13,5,6,21,30,1
"vrij",8,25,16,17,6,22,6
"gevolg",17,32,7,1,22,18,2
"stad",33,37,3,3,7,9,7
"taken",23,22,19,5,8,21,1
"transparantie",11,49,5,3,2,26,3
"arbeid",16,26,15,1,16,23,1
"burger",10,27,23,11,15,12,0
"financieel",17,27,11,6,8,25,4
"meerwaarde",12,42,12,3,3,26,0
"vier",12,22,3,1,40,19,1
"weer",10,26,16,2,26,18,0
"beperking",13,19,32,7,3,22,1
"buurt",12,55,2,0,3,24,1
"democratische",8,21,12,3,19,34,0
"geldt",16,34,13,3,8,22,1
"gewesten",15,35,10,2,27,7,1
"korte",11,47,5,2,2,25,5
"leeftijd",16,27,5,5,17,27,0
"procedure",11,60,1,2,6,15,2
"slimme",42,33,6,4,0,9,3
"actoren",31,25,5,4,2,29,0
"beperken",24,31,20,4,8,8,1
"betaalbaar",27,30,7,5,1,24,2
"cruciaal",23,38,10,2,4,19,0
"gebruiken",15,37,5,8,8,23,0
"opdracht",32,32,11,1,3,13,4
"sinds",9,23,14,1,31,10,8
"verkiezingen",3,11,6,56,12,6,2
"antwoord",13,29,6,4,18,19,6
"gebruikt",15,45,2,3,10,17,3
